query,time,httpCalls,serverTime,overhead,completeness,soundness,errors
query_10174,26.973,8,3366.5646905000003,0.3592073917388916,1.00,1.00,0
query_10175,28.819,8,3367.161534,0.19502639770507812,1.00,1.00,0
query_10176,3.17,1,3156.5535440000003,0.2288818359375,1.00,1.00,0
query_10177,3.323,1,3301.62154,0.19073486328125,1.00,1.00,0
query_10179,3.204,1,3193.8730320000004,0.25725364685058594,1.00,1.00,0
query_1017,3.194,1,3160.1844760000004,0.19669532775878906,1.00,1.00,0
query_10180,6.942,2,3265.048632,0.2149343490600586,1.00,1.00,0
query_10181,3.281,1,3257.641108,0.2269744873046875,1.00,1.00,0
query_10182,3.351,1,3280.8003639999997,0.23102760314941406,1.00,1.00,0
query_10183,3.309,1,3285.9945960000005,0.194549560546875,1.00,1.00,0
query_10184,3.278,1,3266.789628,0.25773048400878906,1.00,1.00,0
query_10185,3.395,1,3369.624676,0.12826919555664062,1.00,1.00,0
query_10186,3.214,1,3181.829456,0.15544891357421875,1.00,1.00,0
query_10187,10.164,3,3303.0945639999995,0.2319812774658203,1.00,1.00,0
query_10188,6.408,2,3190.9882399999997,0.5502700805664062,1.00,1.00,0
query_1018,16.903,5,3345.0140936000003,0.49686431884765625,1.00,1.00,0
query_10190,3.306,1,3279.082148,0.24938583374023438,1.00,1.00,0
query_10191,50.696,15,3377.079368,0.1574834187825521,1.00,1.00,0
query_10192,3.267,1,3242.341824,0.202178955078125,1.00,1.00,0
query_10193,3.255,1,3234.709944,0.27942657470703125,1.00,1.00,0
query_10195,6.659,2,3315.769354,0.5590915679931641,1.00,1.00,0
query_10196,3.231,1,3201.9727519999997,0.30040740966796875,1.00,1.00,0
query_10199,3.292,1,3268.7866440000003,0.2262592315673828,1.00,1.00,0
query_1019,17.174,5,3430.1198392000006,0.3003120422363281,1.00,1.00,0
query_101,3.329,1,3305.452704,0.2574920654296875,1.00,1.00,0
query_10200,3.268,1,3260.018908,0.3604888916015625,1.00,1.00,0
query_10201,2.915,1,2893.648752,0.1385211944580078,1.00,1.00,0
query_10203,3.259,1,3228.404744,0.20647048950195312,1.00,1.00,0
query_10205,3.211,1,3177.83898,0.20837783813476562,1.00,1.00,0
query_10207,3.314,1,3300.5175440000003,0.4639625549316406,1.00,1.00,0
query_10209,3.259,1,3232.662976,0.2827644348144531,1.00,1.00,0
query_1020,10.798,3,3274.1671506666667,0.1685619354248047,1.00,1.00,0
query_10210,3.265,1,3240.84774,0.2338886260986328,1.00,1.00,0
query_10211,20.343,6,3378.611089333334,1.671115557352702,1.00,1.00,0
query_10212,10.182,3,3383.0612333333333,0.22403399149576822,1.00,1.00,0
query_10213,6.793,2,3337.215196,0.1767873764038086,1.00,1.00,0
query_10214,3.175,1,3161.3347400000002,0.3876686096191406,1.00,1.00,0
query_10215,3.248,1,3222.089228,0.10037422180175781,1.00,1.00,0
query_10216,16.836,5,3358.9242568,0.1949787139892578,1.00,1.00,0
query_10217,3.232,1,3205.5164240000004,0.04935264587402344,1.00,1.00,0
query_10218,6.872,2,3406.5527199999997,0.2611875534057617,1.00,1.00,0
query_10219,43.85,13,3370.4447673846153,0.14803959773137018,1.00,1.00,0
query_1021,3.31,1,3263.001556,0.20360946655273438,1.00,1.00,0
query_10220,3.297,1,3274.672732,0.301361083984375,1.00,1.00,0
query_10221,13.627,4,3396.8874170000004,0.19216537475585938,1.00,1.00,0
