query,time,httpCalls,completeness,soundness,errors
query_10174,120.003,364,.40,1.00,1
query_10175,120.002,366,.76,1.00,1
query_10176,2.234,1,1.00,1.00,0
query_10177,3.136,4,1.00,1.00,0
query_10179,0.883,1,1.00,1.00,0
query_1017,5.702,9,1.00,1.00,0
query_10180,24.62,86,1.00,1.00,0
query_10181,3.027,3,1.00,1.00,0
query_10182,20.539,68,1.00,1.00,0
query_10183,4.281,8,0,1.00,0
query_10184,3.533,3,1.00,1.00,0
query_10185,3.651,4,1.00,1.00,0
query_10186,3.402,4,1.00,1.00,0
query_10187,49.921,178,1.00,1.00,0
query_10188,22.387,88,1.00,1.00,0
query_1018,68.634,337,1.00,1.00,0
query_10190,1.427,4,1.00,1.00,0
query_10191,120.004,567,1.00,1.00,1
query_10192,1.069,1,1.00,1.00,0
query_10193,0.604,0,1.00,1.00,0
query_10195,22.988,88,1.00,1.00,0
query_10196,13.474,70,1.00,1.00,0
query_10199,1.424,3,1.00,1.00,0
query_1019,64.976,320,1.00,1.00,0
query_101,4.139,16,1.00,1.00,0
query_10200,3.238,9,1.00,1.00,0
query_10201,0.58,1,1.00,1.00,0
query_10203,4.416,15,1.00,1.00,0
query_10205,6.47,21,.01,1.00,0
query_10207,17.144,69,1.00,1.00,0
query_10209,11.622,43,1.00,1.00,0
query_1020,44.213,148,1.00,1.00,0
query_10210,1.231,1,1.00,1.00,0
query_10211,101.295,416,1.00,1.00,0
query_10212,92.129,186,1.00,1.00,0
query_10213,67.608,131,1.00,1.00,0
query_10214,1.759,0,1.00,1.00,0
query_10215,1.738,0,1.00,1.00,0
query_10216,120.002,281,.63,1.00,1
query_10217,0.815,0,1.00,1.00,0
query_10218,45.312,133,1.00,1.00,0
query_10219,120.003,352,1.00,1.00,1
query_1021,12.092,28,1.00,1.00,0
query_10220,32.838,59,1.00,1.00,0
query_10221,120.003,270,.74,1.00,1
query_10222,7.127,7,1.00,1.00,0
query_10225,120.003,239,.24,1.00,1
query_10226,12.072,26,1.00,1.00,0
query_10227,1.228,0,1.00,1.00,0
query_10229,9.818,24,1.00,1.00,0
query_1022,12.165,35,1.00,1.00,0
query_10230,120.002,494,.95,1.00,1
query_10231,2.37,0,1.00,1.00,0
query_10232,1.212,1,1.00,1.00,0
query_10234,45.333,91,1.00,1.00,0
query_10235,80.962,141,1.00,1.00,0
query_10236,3.655,5,1.00,1.00,0
query_10237,120.002,356,.66,1.00,1
query_10238,119.516,333,1.00,1.00,0
query_1023,120.002,370,.48,1.00,1
query_10240,112.596,236,1.00,1.00,0
query_10241,120.004,244,0,1.00,1
query_10242,3.246,4,1.00,1.00,0
query_10243,32.812,88,1.00,1.00,0
query_10246,0.425,0,1.00,1.00,0
query_10248,25.016,69,1.00,1.00,0
query_10251,1.172,0,1.00,1.00,0
query_10253,69.788,244,.99,.99,0
query_10254,34.556,85,1.00,1.00,0
query_10255,1.738,1,1.00,1.00,0
query_10256,5.545,10,1.00,1.00,0
query_10257,105.067,237,1.00,1.00,0
query_10258,2.241,0,1.00,1.00,0
query_10259,19.301,77,1.00,1.00,0
query_1025,2.499,1,1.00,1.00,0
query_10261,1.21,1,1.00,1.00,0
query_10263,73.972,244,.99,.99,0
query_10266,89.964,258,1.00,1.00,0
query_10268,120.002,360,.76,.90,1
query_1026,3.212,5,1.00,1.00,0
query_10271,120.002,397,.86,1.00,1
query_10272,1.681,0,1.00,1.00,0
query_10273,28.496,69,1.00,1.00,0
query_10274,1.354,3,1.00,1.00,0
query_10277,120.002,306,.62,.96,1
query_10279,1.446,1,1.00,1.00,0
query_1027,12.647,46,1.00,1.00,0
query_10280,4.563,15,1.00,1.00,0
