query,time,httpCalls,errors
query_10174,300.003,2846,1
query_10175,88.302,3442,0
query_10176,0.321,6,0
query_10177,1.091,50,0
query_10179,0.279,6,0
query_1017,11.296,128,0
query_10180,52.613,1168,0
query_10181,0.393,8,0
query_10182,31.07,1075,0
query_10183,3.495,189,0
query_10184,1.338,8,0
query_10185,0.448,9,0
query_10186,0.962,49,0
query_10187,34.271,2333,0
query_10188,23.693,1312,0
query_1018,85.325,4453,0
query_10190,6.522,58,0
query_10191,300.005,3910,1
query_10192,0.64,4,0
query_10193,0.237,5,0
query_10195,23.403,1308,0
query_10196,16.367,1043,0
query_10199,1.479,12,0
query_1019,48.827,2649,0
query_101,18.943,229,0
query_10200,9.021,102,0
query_10201,0.637,3,0
query_10203,3.88,245,0
query_10205,3.894,286,0
query_10207,107.365,1547,0
query_10209,50.261,613,0
query_1020,142.543,1705,0
query_10210,0.831,6,0
query_10211,116.781,6322,0
query_10212,180.585,2742,0
query_10213,263.689,3360,0
query_10214,0.221,8,0
query_10215,0.453,1,0
query_10216,68.494,4571,0
query_10217,0.18,1,0
query_10218,176.478,1904,0
query_10219,300.006,4123,1
query_1021,6.135,205,0
query_10220,102.511,1087,0
query_10221,144.663,4216,0
query_10222,1.861,107,0
query_10225,300.004,3878,1
query_10226,6.743,368,0
query_10227,0.193,2,0
query_10229,14.632,180,0
query_1022,4.992,253,0
query_10230,300.003,8057,1
query_10231,0.216,5,0
query_10232,0.273,6,0
query_10234,27.979,1375,0
query_10235,124.019,1648,0
query_10236,1.235,61,0
query_10237,300.005,3302,1
query_10238,115.244,3408,0
query_1023,52.426,2164,0
query_10240,96.902,6762,0
query_10241,300.006,3780,1
query_10242,1.232,63,0
query_10243,101.77,1312,0
query_10246,0.386,1,0
query_10248,28.482,1970,0
query_10251,0.179,1,0
query_10253,277.856,3934,0
query_10254,21.479,1287,0
query_10255,0.723,5,0
query_10256,2.51,113,0
query_10257,283.038,3608,0
query_10258,0.205,5,0
query_10259,89.781,1135,0
query_1025,0.794,10,0
query_10261,0.682,3,0
query_10263,163.108,3934,0
query_10266,300.005,6146,1
query_10268,142.662,3365,0
query_1026,1.348,74,0
query_10271,300.003,4190,1
query_10272,0.442,1,0
query_10273,144.641,1970,0
query_10274,1.053,7,0
query_10277,51.183,3458,0
query_10279,0.338,7,0
query_1027,42.486,887,0
query_10280,3.625,209,0
query_10281,0.294,6,0
query_10282,0.412,5,0
query_10283,0.274,6,0
query_10284,300.004,3564,1
query_10285,93.075,1180,0
query_10286,0.536,14,0
query_10287,24.33,1591,0
query_10288,300.004,2906,1
query_1028,0.274,4,0
query_10291,85.848,4219,0
query_10292,119.31,6684,0
query_10293,62.272,3533,0
query_10295,4.24,194,0
query_10297,220.035,4556,0
query_10298,130.929,1589,0
query_10299,22.645,1285,0
query_102,300.008,3423,1
query_10300,0.489,1,0
query_10301,51.974,3230,0
query_10302,124.116,1580,0
query_10303,0.245,3,0
query_10304,300.004,3725,1
query_10307,6.428,426,0
query_10308,258.205,6757,0
query_10309,0.812,3,0
query_1030,59.508,663,0
query_10310,99.692,939,0
query_10311,0.572,6,0
query_10313,0.874,10,0
query_10314,4.172,202,0
query_10315,112.721,1176,0
query_10316,66.721,863,0
query_10317,38.036,2613,0
query_10318,300.004,3532,1
query_10319,3.091,192,0
query_1031,139.903,1846,0
query_10320,0.375,3,0
query_10322,126.579,1830,0
query_10323,32.741,1902,0
query_10324,196.63,3309,0
query_10326,2.88,18,0
query_10327,300.005,6056,1
query_1032,300.004,3903,1
query_10330,177.17,2276,0
query_10331,122.803,2522,0
query_10332,33.708,1801,0
query_10335,34.911,1140,0
query_10337,0.417,4,0
query_10338,0.433,8,0
query_10339,8.727,100,0
query_1033,2.905,122,0
query_10340,193.855,1645,0
query_10341,6.049,362,0
query_10343,158.909,1250,0
query_10344,6.174,350,0
query_10345,300.004,3429,1
query_10346,1.224,69,0
