query,time,httpCalls,serverTime,overhead,completeness,soundness,errors
query_10174,8.576,8,1067.0876965000002,0.2690553665161133,1.00,1.00,0
query_10175,11.51,8,1219.0578679999999,0.1806318759918213,1.00,1.00,0
query_10176,1.184,1,1170.532784,0.14901161193847656,1.00,1.00,0
query_10177,1.209,1,1197.3776639999999,0.12326240539550781,1.00,1.00,0
query_10179,1.185,1,1160.6858160000002,0.17571449279785156,1.00,1.00,0
query_1017,1.212,1,1179.091008,0.1354217529296875,1.00,1.00,0
query_10180,2.715,2,1182.5192699999998,0.17333030700683594,0.00,1.00,0
query_10181,1.121,1,1102.1624199999999,0.1595020294189453,1.00,1.00,0
query_10182,2.521,2,1216.529268,0.164031982421875,1.00,1.00,0
query_10183,1.103,1,1079.570956,0.18143653869628906,1.00,1.00,0
query_10184,1.08,1,1054.026948,0.1544952392578125,1.00,1.00,0
query_10185,1.151,1,1128.5966159999998,0.22602081298828125,1.00,1.00,0
query_10186,1.136,1,1107.076016,0.11014938354492188,1.00,1.00,0
query_10187,3.847,3,1184.901248,0.1719792683919271,1.00,1.00,0
query_10188,2.39,2,1184.334732,0.49173831939697266,1.00,1.00,0
query_1018,5.118,4,1230.823437,0.2716183662414551,1.00,1.00,0
query_10190,1.18,1,1156.3264399999998,0.14090538024902344,1.00,1.00,0
query_10191,14.967,16,932.909355,0.13978779315948486,1.00,1.00,0
query_10192,0.529,1,498.59092,0.19431114196777344,1.00,1.00,0
query_10193,0.631,1,609.204072,0.217437744140625,1.00,1.00,0
query_10195,1.276,2,622.733338,0.4725456237792969,1.00,1.00,0
query_10196,0.64,1,617.305604,0.27441978454589844,1.00,1.00,0
query_10199,0.541,1,516.111204,0.1456737518310547,1.00,1.00,0
query_1019,3.71,6,612.6001606666666,0.22645791371663412,1.00,1.00,0
query_101,0.615,1,595.6889839999999,0.15687942504882812,1.00,1.00,0
query_10200,0.557,1,532.463368,0.16450881958007812,1.00,1.00,0
query_10201,0.63,1,609.07276,0.12063980102539062,1.00,1.00,0
query_10203,0.629,1,603.6239679999999,0.14209747314453125,1.00,1.00,0
query_10205,0.645,1,617.3073999999999,0.1823902130126953,1.00,1.00,0
query_10207,1.16,2,568.5549799999999,0.4200935363769531,1.00,1.00,0
query_10209,0.607,1,588.127316,0.1671314239501953,1.00,1.00,0
query_1020,3.427,4,628.2177609999999,0.19347667694091797,1.00,1.00,0
query_10210,0.621,1,588.529264,0.15234947204589844,1.00,1.00,0
query_10211,3.011,5,583.1721440000002,1.0142803192138672,1.00,1.00,0
query_10212,1.956,3,642.2988000000001,0.19582112630208334,1.00,1.00,0
query_10213,1.374,2,638.6673780000001,0.16677379608154297,1.00,1.00,0
query_10214,0.614,1,595.69048,0.22840499877929688,1.00,1.00,0
query_10215,0.584,1,569.812888,0.07295608520507812,1.00,1.00,0
query_10216,3.258,5,644.2459656,0.18362998962402344,1.00,1.00,0
query_10217,0.569,1,551.403196,0.07367134094238281,1.00,1.00,0
query_10218,1.405,3,451.28749733333325,0.19121170043945312,1.00,1.00,0
query_10219,9.005,16,559.5595265000001,0.13139843940734863,1.00,1.00,0
query_1021,0.595,1,546.476208,0.24247169494628906,1.00,1.00,0
query_10220,0.661,1,633.138432,0.17762184143066406,1.00,1.00,0
query_10221,2.321,4,571.0076050000002,0.17839670181274414,1.00,1.00,0
query_10222,0.589,1,563.132048,0.15616416931152344,0,1.00,0
query_10225,7.238,11,591.9553080000002,0.11975114995783026,1.00,1.00,0
query_10226,0.591,1,566.928296,0.1652240753173828,1.00,1.00,0
query_10227,0.556,1,538.051392,0.1926422119140625,1.00,1.00,0
query_10229,0.582,1,527.7190640000001,0.13971328735351562,1.00,1.00,0
