query,time,httpCalls,serverTime,errors
query_10174,115.129,6873,79.79790484504584,0
query_10175,55.842,3442,59.9546775130738,0
query_10176,0.432,6,112,0
query_10177,1.142,50,62.94,0
query_10179,0.439,6,146.66666666666666,0
query_1017,2.375,128,59.078125,0
query_10180,19.798,1168,59.46832191780822,0
query_10181,0.398,8,72.25,0
query_10182,22.287,1075,59.91720930232558,0
query_10183,3.256,189,59.232804232804234,0
query_10184,0.444,8,100.5,0
query_10185,0.513,9,85.33333333333333,0
query_10186,1.035,49,59.38775510204081,0
query_10187,36.351,2333,60.67809687098157,0
query_10188,24.946,1312,60.19588414634146,0
query_1018,68.815,4455,74.05387205387206,0
query_10190,1.487,58,62.241379310344826,0
query_10191,238.958,15165,59.09475766567755,0
query_10192,0.392,4,98,0
query_10193,0.172,5,69,0
query_10195,24.411,1308,59.89373088685015,0
query_10196,17.064,1043,67.71812080536913,0
query_10199,0.526,12,81.16666666666667,0
query_1019,51.95,2649,61.18157795394489,0
query_101,4.916,229,60.69432314410481,0
query_10200,2.409,102,61.59803921568628,0
query_10201,0.233,3,74.66666666666667,0
query_10203,4.117,245,59.64081632653061,0
query_10205,4.249,286,79.71678321678321,0
query_10207,24.188,1547,63.040077569489334,0
query_10209,11.076,613,60.37030995106036,0
query_1020,28.546,1705,61.75777126099707,0
query_10210,0.309,6,87.16666666666667,0
query_10211,122.453,6322,59.37614678899082,0
query_10212,38.556,2744,83.03571428571429,0
query_10213,58.177,3361,59.9431716750967,0
query_10214,0.117,8,66,0
query_10215,0.199,1,60,0
query_10216,68.922,4568,73.2672942206655,0
query_10217,0.183,1,62,0
query_10218,37.27,1904,61.463235294117645,0
query_10219,238.494,15165,59.02809099901088,0
query_1021,4.177,205,59.78536585365854,0
query_10220,21.475,1087,59.7378104875805,0
query_10221,64.639,4219,73.52950936240815,0
query_10222,2.013,107,59.88785046728972,0
query_10225,234.802,15157,58.57748894900046,0
query_10226,6.944,368,63.83695652173913,0
query_10227,0.173,2,72,0
query_10229,3.622,180,61.08888888888889,0
query_1022,5.385,253,60.65612648221344,0
query_10230,238.762,12159,58.61658031088083,0
query_10231,0.198,5,68,0
query_10232,0.294,6,82.33333333333333,0
query_10234,27.029,1375,59.57454545454546,0
query_10235,27.549,1648,61.80643203883495,0
query_10236,1.381,61,61.049180327868854,0
query_10237,191.553,9727,58.917857510023644,0
query_10238,54.696,3408,59.287852112676056,0
query_1023,43.887,2164,63.76571164510166,0
query_10240,106.232,6762,58.43700088731145,0
query_10241,199.397,11926,59.14573201408687,0
query_10242,1.235,63,61.57142857142857,0
query_10243,24.59,1312,59.698932926829265,0
query_10246,0.182,1,62,0
query_10248,31.461,1970,58.61370558375634,0
query_10251,0.17,1,62,0
query_10253,67.879,3920,58.55102040816327,0
query_10254,22.695,1287,59.36363636363637,0
query_10255,0.395,5,111.2,0
query_10256,2.738,113,61.469026548672566,0
query_10257,61.136,3608,58.95177383592018,0
query_10258,0.141,5,68,0
query_10259,18.224,1135,68.43788546255507,0
query_1025,0.381,10,150.1,0
query_10261,0.319,3,80.33333333333333,0
query_10263,68.632,3920,59.02602040816326,0
query_10266,128.573,7477,59.036645713521466,0
query_10268,55.083,3365,60.29598811292719,0
query_1026,1.46,74,61.86486486486486,0
query_10271,154.128,7313,59.65951046082319,0
query_10272,0.151,1,58,0
query_10273,31.325,1970,58.72842639593909,0
query_10274,0.494,7,99.57142857142857,0
query_10277,56.962,3458,60.718334297281665,0
query_10279,0.368,7,103,0
query_1027,19.385,887,59.87260428410372,0
query_10280,3.783,209,60.48803827751196,0
query_10281,0.334,6,101.66666666666667,0
query_10282,0.155,5,71,0
query_10283,0.333,6,138.33333333333334,0
query_10284,61.493,3608,59.52328159645233,0
query_10285,18.846,1180,59.2228813559322,0
query_10286,0.629,14,89.71428571428571,0
query_10287,25.568,1591,67.60339409176619,0
query_10288,191.017,9727,58.94150303279531,0
query_1028,0.341,4,84.75,0
query_10291,64.591,4219,73.62692581180374,0
query_10292,116.845,6677,65.68593679796315,0
query_10293,68.515,3533,63.84432493631475,0
query_10295,4.76,194,63.881443298969074,0
query_10297,87.819,4541,62.427879321735304,0
query_10298,27.461,1583,62.50094756790903,0
query_10299,24.512,1285,62.804669260700386,0
query_102,85.599,4129,64.59094211673529,0
query_10300,0.241,1,70,0
query_10301,59.339,3230,63.021981424148606,0
query_10302,28.677,1580,63.188607594936705,0
query_10303,0.364,3,92.33333333333333,0
query_10304,154.535,9234,61.53638726445744,0
query_10307,7.023,426,91.5868544600939,0
query_10308,106.5,6757,93.69217108184105,0
query_10309,0.366,3,112.33333333333333,0
query_1030,12.581,663,62.30467571644042,0
query_10310,19.481,939,62.90095846645367,0
query_10311,0.412,6,124.5,0
query_10313,0.466,10,147.9,0
query_10314,4.864,202,65.10396039603961,0
query_10315,23.794,1176,62.785714285714285,0
query_10316,14.807,863,61.64426419466976,0
query_10317,46.635,2613,64.9854573287409,0
query_10318,78.329,3902,60.307790876473604,0
query_10319,3.456,192,60.140625,0
query_1031,33.191,1846,64.39490790899242,0
query_10320,0.159,3,66,0
query_10322,38.324,1830,63.84207650273224,0
query_10323,37.416,1902,65.52365930599369,0
query_10324,58.281,3309,63.339981867633725,0
query_10326,0.655,18,86.16666666666667,0
query_10327,87.198,6185,96.65610347615198,0
query_1032,69.933,4093,75.89616418275104,0
query_10330,46.054,2276,62.94288224956063,0
query_10331,44.298,2522,62.09992069785884,0
query_10332,37.179,1801,65.02109938922821,0
query_10335,25.533,1140,63.05789473684211,0
query_10337,0.215,4,77,0
query_10338,0.166,8,70,0
query_10339,2.26,100,69.53,0
query_1033,3.243,122,68.71311475409836,0
query_10340,33.47,1647,66.80631451123254,0
query_10341,6.951,362,63.07734806629834,0
query_10343,25.206,1250,62.248,0
query_10344,6.128,350,60.997142857142855,0
query_10345,208.246,10100,61.69366336633664,0
query_10346,1.439,69,61.869565217391305,0
