query,time,httpCalls,nbResults,errors
query_10174,1.433,1,37,0
query_10175,5.498,6,10000,22
query_10176,0.521,1,0,0
query_10177,0.693,1,0,0
query_10179,0.761,1,0,0
query_1017,0.559,1,59,0
query_10180,0.39,2,2453,0
query_10181,0.631,1,0,0
query_10182,0.876,1,339,0
query_10183,0.765,1,4,0
query_10184,0.146,1,0,0
query_10185,0.281,1,2,0
query_10186,0.737,1,47,0
query_10187,0.913,1,1348,0
query_10188,0.875,1,2,0
query_1018,0.349,1,877,0
query_10190,0.551,1,6,0
query_10191,0.736,1,0,0
query_10192,0.856,1,0,0
query_10193,0.366,1,0,0
query_10195,0.098,1,3,0
query_10196,0.576,1,21,0
query_10199,0.716,1,2,0
query_1019,0.954,1,8,0
query_101,0.155,1,0,0
query_10200,0.495,1,0,0
query_10201,0.805,1,0,0
query_10203,0.699,1,29,0
query_10205,0.833,1,49,0
query_10207,0.207,1,1,0
query_10209,0.636,1,2,0
query_1020,4.437,6,10000,21
query_10210,0.584,1,0,0
query_10211,0.735,1,223,0
query_10212,0.782,1,25,0
query_10213,0.349,1,573,0
query_10214,0.125,1,0,0
query_10215,0.622,1,1,0
query_10216,0.792,1,47,0
query_10217,0.756,1,1,0
query_10218,0.227,1,276,0
query_10219,0.117,1,0,0
query_1021,0.651,1,256,0
query_10220,0.703,1,2,0
query_10221,0.864,1,39,0
query_10222,0.311,1,43,0
query_10225,2.908,4,7456,0
query_10226,0.731,1,28,0
query_10227,0.091,1,0,0
query_10229,0.575,1,234,0
query_1022,0.802,1,246,0
query_10230,0.962,1,441,0
query_10231,0.527,1,0,0
query_10232,0.236,1,0,0
query_10234,0.72,1,9,0
query_10235,3.244,5,9432,0
query_10236,0.581,1,16,0
query_10237,0.788,1,649,0
query_10238,0.578,1,0,0
query_1023,0.383,1,56,0
query_10240,0.427,1,161,0
query_10241,0.772,1,607,0
query_10242,0.601,1,23,0
query_10243,0.434,1,2,0
query_10246,0.207,1,0,0
query_10248,0.745,1,42,0
query_10251,0.688,1,1,0
query_10253,0.481,1,485,0
query_10254,0.205,1,23,0
query_10255,0.723,1,0,0
query_10256,0.58,1,1,0
query_10257,0.413,1,5,0
query_10258,0.608,1,0,0
query_10259,0.247,1,17,0
query_1025,0.561,1,0,0
query_10261,0.408,1,1,0
query_10263,0.736,1,485,0
query_10266,0.473,1,127,0
query_10268,3.393,6,10000,22
query_1026,0.554,1,48,0
query_10271,0.249,1,526,0
query_10272,0.522,1,1,0
query_10273,0.574,1,42,0
query_10274,0.613,1,1,0
query_10277,4.173,6,10000,22
query_10279,0.487,1,0,0
query_1027,0.359,1,2,0
query_10280,0.511,1,129,0
query_10281,0.557,1,0,0
query_10282,0.574,1,0,0
query_10283,0.524,1,0,0
query_10284,0.173,1,5,0
query_10285,0.649,1,722,0
query_10286,0.584,1,0,0
query_10287,0.576,1,36,0
query_10288,0.519,1,649,0
query_1028,0.464,1,0,0
query_10291,0.518,1,39,0
query_10292,0.664,1,813,0
query_10293,0.627,1,491,0
query_10295,0.295,1,10,0
query_10297,0.723,1,20,0
query_10298,0.469,1,54,0
query_10299,0.586,1,26,0
query_102,0.399,1,0,0
query_10300,0.475,1,0,0
query_10301,3.692,6,10000,22
query_10302,2.511,4,7234,0
query_10303,0.309,1,1,0
query_10304,0.626,1,1807,0
query_10307,0.606,1,8,0
query_10308,0.565,1,74,0
query_10309,0.456,1,0,0
query_1030,0.508,1,2,0
query_10310,0.506,1,218,0
query_10311,0.435,1,0,0
query_10313,0.397,1,0,0
query_10314,0.63,1,210,0
query_10315,0.591,1,129,0
query_10316,0.516,1,853,0
query_10317,4.163,6,10000,21
query_10318,9.505,5,9668,0
query_10319,0.515,1,129,0
query_1031,0.588,1,9,0
query_10320,0.819,1,0,0
query_10322,0.326,1,33,0
query_10323,0.32,1,6,0
query_10324,4.454,6,10000,22
query_10326,0.403,1,18,0
query_10327,0.82,1,33,0
query_1032,0.777,1,436,0
query_10330,0.411,1,1908,0
query_10331,0.494,1,6,0
query_10332,0.731,1,231,0
query_10335,0.733,1,9,0
query_10337,0.414,1,0,0
query_10338,0.282,1,0,0
query_10339,0.585,1,5,0
query_1033,0.703,1,13,0
query_10340,0.627,1,202,0
query_10341,0.526,1,10,0
query_10343,0.338,1,167,0
query_10344,0.429,1,345,0
query_10345,0.554,1,386,0
query_10346,0.716,1,67,0
