query,time,httpCalls,nbResults,errors
query_10174,0.411,1,37,0
query_10175,1.418,1,2000,0
query_10176,0.63,1,0,0
query_10177,0.608,1,0,0
query_10179,0.766,1,0,0
query_1017,0.576,1,59,0
query_10180,0.303,1,2000,0
query_10181,0.333,1,0,0
query_10182,0.611,1,339,0
query_10183,0.518,1,4,0
query_10184,0.634,1,0,0
query_10185,0.75,1,2,0
query_10186,0.638,1,47,0
query_10187,0.645,1,1348,0
query_10188,0.577,1,2,0
query_1018,0.536,1,877,0
query_10190,0.848,1,6,0
query_10191,0.592,1,0,0
query_10192,0.258,1,0,0
query_10193,0.258,1,0,0
query_10195,0.865,1,3,0
query_10196,0.862,1,21,0
query_10199,0.74,1,2,0
query_1019,2.569,1,8,0
query_101,0.534,1,0,0
query_10200,0.152,1,0,0
query_10201,0.22,1,0,0
query_10203,0.701,1,29,0
query_10205,0.752,1,49,0
query_10207,0.23,1,1,0
query_10209,0.18,1,2,0
query_1020,0.279,1,2000,0
query_10210,0.473,1,0,0
query_10211,1.043,1,223,0
query_10212,0.41,1,25,0
query_10213,0.394,1,573,0
query_10214,0.32,1,0,0
query_10215,0.218,1,1,0
query_10216,0.257,1,47,0
query_10217,0.3,1,1,0
query_10218,0.324,1,276,0
query_10219,0.327,1,0,0
query_1021,0.178,1,256,0
query_10220,0.101,1,2,0
query_10221,0.181,1,39,0
query_10222,0.118,1,43,0
query_10225,0.189,1,2000,0
query_10226,0.169,1,28,0
query_10227,0.369,1,0,0
query_10229,0.475,1,234,0
query_1022,0.395,1,246,0
query_10230,0.431,1,441,0
query_10231,0.168,1,0,0
query_10232,0.16,1,0,0
query_10234,0.377,1,9,0
query_10235,0.38,1,2000,0
query_10236,0.217,1,16,0
query_10237,0.264,1,649,0
query_10238,0.182,1,0,0
query_1023,0.356,1,56,0
query_10240,0.305,1,161,0
query_10241,0.268,1,607,0
query_10242,0.153,1,23,0
query_10243,0.219,1,2,0
query_10246,0.206,1,0,0
query_10248,0.184,1,42,0
query_10251,0.176,1,1,0
query_10253,0.352,1,485,0
query_10254,0.505,1,23,0
query_10255,0.732,1,0,0
query_10256,1.365,1,1,0
query_10257,0.665,1,5,0
query_10258,0.589,1,0,0
query_10259,1.182,1,17,0
query_1025,1.027,1,0,0
query_10261,0.639,1,1,0
query_10263,0.686,1,485,0
query_10266,0.471,1,127,0
query_10268,1.547,1,2000,0
query_1026,0.887,1,48,0
query_10271,0.966,1,526,0
query_10272,1.33,1,1,0
query_10273,0.959,1,42,0
query_10274,0.673,1,1,0
query_10277,1.077,1,2000,0
query_10279,1.07,1,0,0
query_1027,1.006,1,2,0
query_10280,0.763,1,129,0
query_10281,0.909,1,0,0
query_10282,0.985,1,0,0
query_10283,0.777,1,0,0
query_10284,1.137,1,5,0
query_10285,0.514,1,722,0
query_10286,0.6,1,0,0
query_10287,0.654,1,36,0
query_10288,0.624,1,649,0
query_1028,0.738,1,0,0
query_10291,0.666,1,39,0
query_10292,0.688,1,813,0
query_10293,0.708,1,491,0
query_10295,0.539,1,10,0
query_10297,0.47,1,20,0
query_10298,0.459,1,54,0
query_10299,0.587,1,26,0
query_102,0.539,1,0,0
query_10300,0.586,1,0,0
query_10301,0.589,1,2000,0
query_10302,0.383,1,2000,0
query_10303,0.544,1,1,0
query_10304,0.325,1,1807,0
query_10307,0.294,1,8,0
query_10308,0.925,1,74,0
query_10309,0.934,1,0,0
query_1030,0.575,1,2,0
query_10310,0.415,1,218,0
query_10311,0.423,1,0,0
query_10313,0.453,1,0,0
query_10314,0.864,1,210,0
query_10315,0.933,1,129,0
query_10316,0.694,1,853,0
query_10317,0.785,1,2000,0
query_10318,1.818,1,2000,0
query_10319,0.342,1,129,0
query_1031,0.699,1,9,0
query_10320,0.531,1,0,0
query_10322,0.37,1,33,0
query_10323,0.589,1,6,0
query_10324,0.909,1,2000,0
query_10326,0.719,1,18,0
query_10327,0.985,1,33,0
query_1032,0.549,1,436,0
query_10330,0.239,1,1908,0
query_10331,0.407,1,6,0
query_10332,0.456,1,231,0
query_10335,0.315,1,9,0
query_10337,0.156,1,0,0
query_10338,0.467,1,0,0
query_10339,0.498,1,5,0
query_1033,0.58,1,13,0
query_10340,0.518,1,202,0
query_10341,0.71,1,10,0
query_10343,0.881,1,167,0
query_10344,0.859,1,345,0
query_10345,1.378,1,386,0
query_10346,0.938,1,67,0
