query,time,httpCalls,nbResults,errors
query_10174,35.457,1,37,0
query_10175,23.254,1,23878,0
query_10176,32.994,1,0,0
query_10177,24.559,1,0,0
query_10179,27.049,1,0,0
query_1017,20.633,1,59,0
query_10180,21.592,1,2453,0
query_10181,21.517,1,0,0
query_10182,57.332,1,339,0
query_10183,24.024,1,4,0
query_10184,60.56,1,0,0
query_10185,39.937,1,2,0
query_10186,64.753,1,47,0
query_10187,41.105,1,1348,0
query_10188,44.634,1,2,0
query_1018,26.446,1,877,0
query_10190,17.809,1,6,0
query_10191,18.191,1,0,0
query_10192,38.273,1,0,0
query_10193,27.922,1,0,0
query_10195,23.003,1,3,0
query_10196,33.075,1,21,0
query_10199,38.649,1,2,0
query_1019,24.343,1,8,0
query_101,24.107,1,0,0
query_10200,17.951,1,0,0
query_10201,21.026,1,0,0
query_10203,18.596,1,29,0
query_10205,23.49,1,49,0
query_10207,54.218,1,1,0
query_10209,26.684,1,2,0
query_1020,34.791,1,10019,0
query_10210,22.234,1,0,0
query_10211,19.453,1,223,0
query_10212,17.216,1,25,0
query_10213,17.327,1,573,0
query_10214,17.127,1,0,0
query_10215,17.083,1,1,0
query_10216,17.156,1,47,0
query_10217,17.249,1,1,0
query_10218,17.521,1,276,0
query_10219,15.027,1,0,0
query_1021,17.159,1,256,0
query_10220,17.199,1,2,0
query_10221,17.069,1,39,0
query_10222,17.101,1,43,0
query_10225,17.366,1,7456,0
query_10226,17.456,1,28,0
query_10227,17.037,1,0,0
query_10229,17.202,1,234,0
query_1022,17.233,1,246,0
query_10230,17.099,1,441,0
query_10231,17.133,1,0,0
query_10232,17.089,1,0,0
query_10234,17.288,1,9,0
query_10235,17.366,1,9432,0
query_10236,17.293,1,16,0
query_10237,17.226,1,649,0
query_10238,17.131,1,0,0
query_1023,17.338,1,56,0
query_10240,17.083,1,161,0
query_10241,17.117,1,607,0
query_10242,17.258,1,23,0
query_10243,17.17,1,2,0
query_10246,17.945,1,0,0
query_10248,17.236,1,42,0
query_10251,17.125,1,1,0
query_10253,17.125,1,485,0
query_10254,17.217,1,23,0
query_10255,17.059,1,0,0
query_10256,17.124,1,1,0
query_10257,17.1,1,5,0
query_10258,17.415,1,0,0
query_10259,17.081,1,17,0
query_1025,17.047,1,0,0
query_10261,17.088,1,1,0
query_10263,17.142,1,485,0
query_10266,17.166,1,127,0
query_10268,17.745,1,22571,0
query_1026,17.732,1,48,0
query_10271,17.15,1,526,0
query_10272,17.017,1,1,0
query_10273,17.105,1,42,0
query_10274,17.197,1,1,0
query_10277,18.702,1,22889,0
query_10279,21.757,1,0,0
query_1027,22.753,1,2,0
query_10280,18.112,1,129,0
query_10281,17.102,1,0,0
query_10282,17.109,1,0,0
query_10283,17.316,1,0,0
query_10284,17.173,1,5,0
query_10285,17.18,1,722,0
query_10286,17.234,1,0,0
query_10287,17.305,1,36,0
query_10288,17.061,1,649,0
query_1028,17.076,1,0,0
query_10291,17.256,1,39,0
query_10292,17.165,1,813,0
query_10293,17.224,1,491,0
query_10295,17.437,1,10,0
query_10297,17.223,1,20,0
query_10298,17.082,1,54,0
query_10299,17.199,1,26,0
query_102,17.015,1,0,0
query_10300,17.018,1,0,0
query_10301,17.67,1,18742,0
query_10302,18.079,1,7234,0
query_10303,17.188,1,1,0
query_10304,17.305,1,1807,0
query_10307,17.695,1,8,0
query_10308,17.388,1,74,0
query_10309,17.013,1,0,0
query_1030,17.019,1,2,0
query_10310,17.171,1,218,0
query_10311,17.283,1,0,0
query_10313,17.15,1,0,0
query_10314,17.137,1,210,0
query_10315,17.128,1,129,0
query_10316,17.251,1,853,0
query_10317,17.684,1,15499,0
query_10318,26.218,1,9668,0
query_10319,17.28,1,129,0
query_1031,17.013,1,9,0
query_10320,17.281,1,0,0
query_10322,17.146,1,33,0
query_10323,17.098,1,6,0
query_10324,18.318,1,22817,0
query_10326,15.96,1,18,0
query_10327,17.209,1,33,0
query_1032,17.259,1,436,0
query_10330,17.214,1,1908,0
query_10331,17.057,1,6,0
query_10332,17.069,1,231,0
query_10335,17.149,1,9,0
query_10337,17.259,1,0,0
query_10338,17.173,1,0,0
query_10339,17.053,1,5,0
query_1033,17.191,1,13,0
query_10340,17.224,1,202,0
query_10341,17.702,1,10,0
query_10343,17.164,1,167,0
query_10344,17.24,1,345,0
query_10345,17.341,1,386,0
query_10346,17.134,1,67,0
