query,time,httpCalls,nbResults,errors
query_10174,51.182,1,37,0
query_10175,61.933,1,23878,0
query_10176,1.534,1,0,0
query_10177,13.72,1,0,0
query_10179,50.429,1,0,0
query_1017,15.064,1,59,0
query_10180,2.269,1,2453,0
query_10181,14.539,1,0,0
query_10182,36.269,1,339,0
query_10183,21.799,1,4,0
query_10184,16.149,1,0,0
query_10185,37.226,1,2,0
query_10186,25.271,1,47,0
query_10187,15.337,1,1348,0
query_10188,37.611,1,2,0
query_1018,16.797,1,877,0
query_10190,19.351,1,6,0
query_10191,50.953,1,0,0
query_10192,9.754,1,0,0
query_10193,44.945,1,0,0
query_10195,26.547,1,3,0
query_10196,12.192,1,21,0
query_10199,39.326,1,2,0
query_1019,25.626,1,8,0
query_101,15.133,1,0,0
query_10200,42.008,1,0,0
query_10201,25.192,1,0,0
query_10203,19.14,1,29,0
query_10205,38.085,1,49,0
query_10207,23.046,1,1,0
query_10209,15.56,1,2,0
query_1020,41.628,1,10019,0
query_10210,21.179,1,0,0
query_10211,17.598,1,223,0
query_10212,38.462,1,25,0
query_10213,16.794,1,573,0
query_10214,20.132,1,0,0
query_10215,38.094,1,1,0
query_10216,20.769,1,47,0
query_10217,19.447,1,1,0
query_10218,47.005,1,276,0
query_10219,9.868,1,0,0
query_1021,22.008,1,256,0
query_10220,47.262,1,2,0
query_10221,24.852,1,39,0
query_10222,47.635,1,43,0
query_10225,16.803,1,7456,0
query_10226,22.77,1,28,0
query_10227,49.34,1,0,0
query_10229,22.226,1,234,0
query_1022,40.274,1,246,0
query_10230,25.625,1,441,0
query_10231,23.522,1,0,0
query_10232,43.524,1,0,0
query_10234,16.276,1,9,0
query_10235,20.62,1,9432,0
query_10236,45.78,1,16,0
query_10237,16.767,1,649,0
query_10238,26.822,1,0,0
query_1023,44.95,1,56,0
query_10240,13.66,1,161,0
query_10241,31.314,1,607,0
query_10242,41.478,1,23,0
query_10243,21.51,1,2,0
query_10246,50.299,1,0,0
query_10248,21.645,1,42,0
query_10251,21.9,1,1,0
query_10253,40.042,1,485,0
query_10254,19.28,1,23,0
query_10255,22.38,1,0,0
query_10256,43.049,1,1,0
query_10257,19.489,1,5,0
query_10258,20.358,1,0,0
query_10259,39.563,1,17,0
query_1025,24.954,1,0,0
query_10261,22.274,1,1,0
query_10263,34.369,1,485,0
query_10266,26.072,1,127,0
query_10268,28.749,1,22571,0
query_1026,35.303,1,48,0
query_10271,33.262,1,526,0
query_10272,34.938,1,1,0
query_10273,31.542,1,42,0
query_10274,23.195,1,1,0
query_10277,39.072,1,22889,0
query_10279,34.314,1,0,0
query_1027,35.597,1,2,0
query_10280,41.451,1,129,0
query_10281,22.947,1,0,0
query_10282,31.022,1,0,0
query_10283,36.219,1,0,0
query_10284,24.364,1,5,0
query_10285,41.312,1,722,0
query_10286,32.085,1,0,0
query_10287,27.629,1,36,0
query_10288,37.547,1,649,0
query_1028,21.711,1,0,0
query_10291,30.092,1,39,0
query_10292,31.482,1,813,0
query_10293,28.942,1,491,0
query_10295,44.757,1,10,0
query_10297,18.485,1,20,0
query_10298,23.663,1,54,0
query_10299,45.411,1,26,0
query_102,14.75,1,0,0
query_10300,26.964,1,0,0
query_10301,41.971,1,18742,0
query_10302,24.758,1,7234,0
query_10303,51.235,1,1,0
query_10304,15.506,1,1807,0
query_10307,29.762,1,8,0
query_10308,43.827,1,74,0
query_10309,14.546,1,0,0
query_1030,28.908,1,2,0
query_10310,42.058,1,218,0
query_10311,13.548,1,0,0
query_10313,27.209,1,0,0
query_10314,42.611,1,210,0
query_10315,14.005,1,129,0
query_10316,29.47,1,853,0
query_10317,48.771,1,15499,0
query_10318,24.2,1,9668,0
query_10319,44.688,1,129,0
query_1031,20.902,1,9,0
query_10320,26.699,1,0,0
query_10322,34.742,1,33,0
query_10323,22.328,1,6,0
query_10324,55.706,1,22817,0
query_10326,20.578,1,18,0
query_10327,18.732,1,33,0
query_1032,45.582,1,436,0
query_10330,18.991,1,1908,0
query_10331,18.528,1,6,0
query_10332,59.022,1,231,0
query_10335,20.178,1,9,0
query_10337,15.882,1,0,0
query_10338,37.882,1,0,0
query_10339,22.364,1,5,0
query_1033,17.292,1,13,0
query_10340,41.249,1,202,0
query_10341,21.441,1,10,0
query_10343,20.13,1,167,0
query_10344,43.525,1,345,0
query_10345,22.149,1,386,0
query_10346,19.034,1,67,0
