query,time,httpCalls,nbResults,errors
query_8569,,0,0
query_856,,0,0
query_8570,81.826,1,3,0
query_8571,,0,0
query_8572,1.289,1,19,0
query_8573,,0,0
query_8574,,0,0
query_8575,37.17,1,906,0
query_8576,91.594,1,2,0
query_8577,75.972,1,11997,0
query_8578,,0,0
query_8579,78.186,1,124,0
query_857,46.875,1,280,0
query_8580,101.96,1,131,0
query_8581,38.112,1,627,0
query_8582,,0,0
query_8583,,0,0
query_8584,24.878,1,60,0
query_8585,73.332,1,2,0
query_8586,51.348,1,22372,0
query_8587,,0,0
query_8588,,0,0
query_8589,9.686,1,15375,0
query_858,,0,0
query_8590,40.825,1,3,0
query_8591,92.384,1,2,0
query_8592,94.213,1,3546,0
query_8593,118.504,1,17,0
query_8594,112.828,1,31,0
query_8595,,0,0
query_8596,118.753,1,101,0
query_8597,119.204,1,35,0
query_8598,49.367,1,34,0
query_8599,83.756,1,8,0
query_859,,0,0
query_85,52.276,1,2,0
query_8600,,0,0
query_8601,,0,0
query_8602,15.892,1,2239,0
query_8603,110.034,1,22372,0
query_8604,87.822,1,14,0
query_8605,,0,0
query_8606,49.253,1,3,0
query_8607,54.133,1,22,0
query_8608,69.972,1,3,0
query_8609,,0,0
query_860,56.037,1,2,0
query_8610,1.981,1,5,0
query_8611,,0,0
query_8612,,0,0
query_8613,11.57,1,388,0
query_8614,119.431,1,19,0
query_8615,,0,0
query_8616,,0,0
query_8617,9.445,1,22372,0
query_8618,,0,0
query_8619,,0,0
query_861,,0,0
query_8620,45.918,1,2,0
query_8621,85.199,1,5,0
query_8622,37.138,1,58,0
query_8623,104.317,1,3,0
query_8624,,0,0
query_8625,101.679,1,143,0
query_8626,66.271,1,2855,0
query_8627,80.208,1,119,0
query_8628,99.341,1,497,0
query_8629,,0,0
query_862,67.211,1,237,0
query_8630,,0,0
query_8631,,0,0
query_8632,8.736,1,5,0
query_8633,44.644,1,33,0
query_8634,119.786,1,55,0
query_8635,80.683,1,3,0
query_8636,107.258,1,2,0
query_8637,,0,0
query_8638,78.034,1,2,0
query_8639,45.512,1,176,0
query_863,,0,0
query_8640,75.695,1,2,0
query_8641,,0,0
query_8642,,0,0
query_8643,81.866,1,2,0
query_8644,47.565,1,96,0
query_8645,118.891,1,440,0
query_8646,118.755,1,28380,0
query_8647,116.718,1,2,0
query_8648,26.103,1,11154,0
query_8649,,0,0
query_864,8.891,1,33,0
query_8650,118.185,1,154,0
query_8651,39.871,1,41,0
query_8652,,0,0
query_8653,,0,0
query_8654,13.57,1,15,0
query_8655,117.237,1,2,0
query_8656,90.128,1,24,0
query_8657,,0,0
query_8658,62.554,1,70,0
query_8659,65.848,1,6,0
query_865,,0,0
query_8660,56.248,1,348,0
query_8661,,0,0
query_8662,,0,0
query_8663,11.799,1,3,0
query_8664,,0,0
query_8665,41.491,1,15,0
query_8666,,0,0
query_8667,81.29,1,2239,0
query_8668,43.399,1,5,0
query_8669,,0,0
query_866,,0,0
query_8670,,0,0
query_8671,,0,0
query_8672,118.438,1,2,0
query_8673,10.732,1,78,0
query_8674,119.115,1,752,0
query_8675,,0,0
query_8676,87.779,1,27,0
query_8677,72.978,1,3,0
query_8678,49.572,1,5,0
query_8679,31.466,1,53,0
query_867,,0,0
query_8680,5.359,1,38,0
query_8681,82.041,1,1639,0
query_8682,,0,0
query_8683,45.171,1,23,0
query_8684,85.362,1,1048578,0
query_8685,,0,0
query_8686,16.303,1,36528,0
query_8687,64.045,1,25,0
query_8688,59.231,1,10074,0
query_8689,,0,0
query_868,,0,0
query_8690,,0,0
query_8691,,0,0
query_8692,,0,0
query_8693,4.931,1,38,0
query_8694,106,1,5,0
query_8695,23.128,1,182,0
query_8696,,0,0
query_8697,4.077,1,82,0
query_8698,,0,0
query_8699,,0,0
query_869,,0,0
query_86,,0,0
query_8700,117.411,1,16,0
query_8701,48.862,1,7458,0
query_8702,85.517,1,7,0
query_8703,43.096,1,9434,0
query_8704,69.706,1,3,0
query_8705,,0,0
query_8706,61.503,1,35,0
query_8707,59.723,1,71,0
query_8708,,0,0
query_8709,,0,0
query_870,66.964,1,762,0
query_8710,73.705,1,240,0
query_8711,113.858,1,38862,0
query_8712,102.713,1,61,0
query_8713,,0,0
query_8714,39.787,1,2,0
query_8715,,0,0
query_8716,4.339,1,94,0
query_8717,,0,0
query_8718,,0,0
query_8719,58.237,1,3,0
query_871,,0,0
query_8720,,0,0
query_8721,,0,0
query_8722,,0,0
query_8723,63.571,1,73,0
query_8724,66.904,1,147,0
query_8725,,0,0
query_8726,111.534,1,2,0
query_8727,16.494,1,9,0
query_8728,,0,0
query_8729,119.427,1,2,0
query_872,49.776,1,10,0
query_8730,78.951,1,3,0
query_8731,,0,0
query_8732,38.252,1,41,0
query_8733,,0,0
query_8734,,0,0
query_8735,22.033,1,3,0
query_8736,47.595,1,2,0
query_8737,78.043,1,197,0
query_8738,118.883,1,45,0
query_8739,119.041,1,185,0
query_873,,0,0
query_8740,7.805,1,119,0
query_8741,,0,0
