query,time,httpCalls,nbResults,errors
query_10174,177.817,1,37,0
query_10175,143.585,1,23878,0
query_10176,129.086,1,0,0
query_10177,134.481,1,0,0
query_10179,124.209,1,0,0
query_1017,147.567,1,59,0
query_10180,159.245,1,2453,0
query_10181,162.019,1,0,0
query_10182,152.019,1,339,0
query_10183,160.461,1,4,0
query_10184,160.706,1,0,0
query_10185,134.92,1,2,0
query_10186,155.965,1,47,0
query_10187,159.509,1,1348,0
query_10188,149.494,1,2,0
query_1018,155.406,1,877,0
query_10190,137.531,1,6,0
query_10191,147.887,1,0,0
query_10192,148.787,1,0,0
query_10193,157.387,1,0,0
query_10195,161.61,1,3,0
query_10196,155.537,1,21,0
query_10199,157.751,1,2,0
query_1019,160.24,1,8,0
query_101,133.538,1,0,0
query_10200,161.594,1,0,0
query_10201,162.896,1,0,0
query_10203,160.801,1,29,0
query_10205,165.068,1,49,0
query_10207,163.199,1,1,0
query_10209,153.269,1,2,0
query_1020,156.671,1,10019,0
query_10210,109.955,1,0,0
query_10211,129.419,1,223,0
query_10212,142.109,1,25,0
query_10213,136.599,1,573,0
query_10214,93.851,1,0,0
query_10215,117.734,1,1,0
query_10216,114.463,1,47,0
query_10217,103.916,1,1,0
query_10218,108.186,1,276,0
query_10219,103.292,1,0,0
query_1021,107.338,1,256,0
query_10220,106.231,1,2,0
query_10221,88.419,1,39,0
query_10222,71.733,1,43,0
query_10225,84.87,1,7456,0
query_10226,99.271,1,28,0
query_10227,105.05,1,0,0
query_10229,110.358,1,234,0
query_1022,100.588,1,246,0
query_10230,104.369,1,441,0
query_10231,111.907,1,0,0
query_10232,101.656,1,0,0
query_10234,113.749,1,9,0
query_10235,109.531,1,9432,0
query_10236,105.673,1,16,0
query_10237,88.417,1,649,0
query_10238,113.102,1,0,0
query_1023,105.031,1,56,0
query_10240,98.608,1,161,0
query_10241,114.933,1,607,0
query_10242,149.132,1,23,0
query_10243,144.444,1,2,0
query_10246,158.91,1,0,0
query_10248,157.742,1,42,0
query_10251,153.864,1,1,0
query_10253,161.951,1,485,0
query_10254,161.469,1,23,0
query_10255,160.05,1,0,0
query_10256,122.454,1,1,0
query_10257,163.156,1,5,0
query_10258,166.502,1,0,0
query_10259,154.809,1,17,0
query_1025,158.824,1,0,0
query_10261,161.943,1,1,0
query_10263,157.038,1,485,0
query_10266,144.054,1,127,0
query_10268,165.648,1,22571,0
query_1026,161.231,1,48,0
query_10271,161.048,1,526,0
query_10272,167.362,1,1,0
query_10273,146.117,1,42,0
query_10274,163.958,1,1,0
query_10277,156.097,1,22889,0
query_10279,165.979,1,0,0
query_1027,151.966,1,2,0
query_10280,126.76,1,129,0
query_10281,109.325,1,0,0
query_10282,115.908,1,0,0
query_10283,101.443,1,0,0
query_10284,109.995,1,5,0
query_10285,137.491,1,722,0
query_10286,133.068,1,0,0
query_10287,157.741,1,36,0
query_10288,143.758,1,649,0
query_1028,148.327,1,0,0
query_10291,154.052,1,39,0
query_10292,138.344,1,813,0
query_10293,142.23,1,491,0
query_10295,147.006,1,10,0
query_10297,142.366,1,20,0
query_10298,151.549,1,54,0
query_10299,148.687,1,26,0
query_102,150.798,1,0,0
query_10300,151.884,1,0,0
query_10301,123.183,1,18742,0
query_10302,142.314,1,7234,0
query_10303,108.952,1,1,0
query_10304,97.68,1,1807,0
query_10307,104.767,1,8,0
query_10308,133.812,1,74,0
query_10309,141.349,1,0,0
query_1030,132.542,1,2,0
query_10310,162.574,1,218,0
query_10311,157.736,1,0,0
query_10313,163.572,1,0,0
query_10314,164.218,1,210,0
query_10315,142.236,1,129,0
query_10316,120.845,1,853,0
query_10317,159.321,1,15499,0
query_10318,164.413,1,9668,0
query_10319,165.84,1,129,0
query_1031,155.312,1,9,0
query_10320,155.005,1,0,0
query_10322,157.271,1,33,0
query_10323,164.768,1,6,0
query_10324,127.57,1,22817,0
query_10326,137.774,1,18,0
query_10327,150.336,1,33,0
query_1032,155.041,1,436,0
query_10330,163.663,1,1908,0
query_10331,154.845,1,6,0
query_10332,146.334,1,231,0
query_10335,153.521,1,9,0
query_10337,162.004,1,0,0
query_10338,161.871,1,0,0
query_10339,158.6,1,5,0
query_1033,140.056,1,13,0
query_10340,159.587,1,202,0
query_10341,163.395,1,10,0
query_10343,134.141,1,167,0
query_10344,157.045,1,345,0
query_10345,152.953,1,386,0
query_10346,160.005,1,67,0
